Nicolas,Esteban,nicolas.esteban@outlook.com,9954536605,Viudo,Brasileña,10601,Amazonas,Condorcanqui,Santa MarÃ­a de Nieva,Nieva,Ub Mariscal Caceres Sector 3 Etapa 3 Juan Manuel Moscoso,Mz.,L,Lt.,6,
Maria,Contreras,maria.contreras@gmail.com,9260761130,Viudo,Canadiense,10107,Amazonas,Chachapoyas,Granada,Granada,Ub Bella Luz Monte Hermoso Sur,Mz.,Q,Lt.,9,
Pedro,Contreras,pedro.contreras@outlook.com,9780663108,Viudo,Peruana,20101,Ancash,Huaraz,Huaraz,Huaraz,Pj Pro Vivienda El Agustino Etapa 2 Esperanza Osores,Mz.,G,Lt.,19,
Teresa,Ortega,teresa.ortega@outlook.com,9697839679,Soltero,Sueca,10404,Amazonas,Luya,Colcamar,Colcamar,Asoc Las Palmeras Los Filosofos,Mz.,S,Lt.,12,
Esther,Morales,esther.morales@outlook.com,9487401706,Divorciado,Francesa,10412,Amazonas,Luya,Ocalli,Ocalli,Asoc Los Robles Del Naranjal 2 Etapa Valle Hermoso,Mz.,E,Lt.,7,
Maria Mercedes,Contreras,maria.mercedes.contreras@gmail.com,9633589622,Soltero,Peruana,10312,Amazonas,Bongara,Pedro Ruiz Gallo,Jazan,Asoc Valle Hermoso 2 Etapa,Mz.,M,Lt.,18,
Delia,Torres,delia.torres@outlook.com,9887151876,Casado,Peruana,20106,Ancash,Huaraz,Jangas,Jangas,Ah 12 De Febrero Valle Hermoso,Mz.,X,Lt.,19,
Manuel,Santiago,manuel.santiago@gmail.com,9903835545,Soltero,Peruana,10119,Amazonas,Chachapoyas,Maino,San Isidro De Maino,Asoc Ramon Castilla Los Filosofos,Mz.,G,Lt.,4,
Zulema,Soler,zulema.soler@gmail.com,9659852866,Divorciado,Dominiquesa,10501,Amazonas,Rodriguez De Mendoza,Mendoza,San Nicolas,Ub Rinconada Alta Monte Umbroso,Mz.,A,Lt.,4,
Concepcion,Morales,concepcion.morales@outlook.com,9147705984,Casado,Beliceña,20107,Ancash,Huaraz,Cajamarquilla,La Libertad,Ub Casuarinas Los Ingenieros (valle Hermoso),Mz.,Z,Lt.,17,
Zulema,Ortiz,zulema.ortiz@outlook.com,9814267253,Soltero,Finlandesa,10205,Amazonas,Bagua,Bagua,Bagua,Pj Pro Vivienda El Agustino Zona 6 General Luis Jose Orbegoso,Mz.,C,Lt.,9,
Maria Esther,Aparicio,maria.esther.aparicio@gmail.com,9166876933,Casado,Indio,10419,Amazonas,Luya,Santa Catalina,Santa Catalina,Ub Rinconada Del Lago Los Osos,Mz.,O,Lt.,16,
Rosario,Aymerich,rosario.aymerich@gmail.com,9127875290,Viudo,Paraguaya,10417,Amazonas,Luya,Paclas,San Jeronimo,Asoc Pop Villamar De Ancon Los Claveles,Mz.,C,Lt.,18,
Pilar,Martínez,pilar.martínez@outlook.com,9862446111,Soltero,Pakistani,20106,Ancash,Huaraz,Jangas,Jangas,Asoc Pop Villamar De Ancon Los Claveles,Mz.,C,Lt.,18,
Concepcion,Morales,concepcion.morales@outlook.com,9524188479,Viudo,Panameña,10511,Amazonas,Rodriguez De Mendoza,Totora,Totora,Ah Santa Martha Los Filosofos,Mz.,I,Lt.,1,
Filomena,El baitar,filomena.el.baitar@outlook.com,9238749876,Soltero,Sueca,10309,Amazonas,Bongara,Shipasbamba,Shipasbamba,Ub Mariscal Caceres Sector 3 Etapa 2 Juan Manuel Moscoso,Mz.,M,Lt.,18,
Paulina,Ruiz,paulina.ruiz@outlook.com,9243324077,Divorciado,Guyanesa,10304,Amazonas,Bongara,Chisquilla,Chisquilla,Ub Mariscal Caceres Sector 3 Etapa 3 Juan Moscoso,Mz.,S,Lt.,11,
Nicolas,Esteban,nicolas.esteban@outlook.com,9762427870,Viudo,Peruana,10311,Amazonas,Bongara,Yambrasbamba,Yambrasbamba,Ah Santa Martha Los Filosofos,Mz.,I,Lt.,1,
Dominga,Vargas,dominga.vargas@outlook.com,9865942392,Viudo,Nigeriana,10120,Amazonas,Chachapoyas,Soloco,Soloco,Ub Santa Catalina Saposoa,Mz.,B,Lt.,18,
Amalia,Arias,amalia.arias@outlook.com,9652998793,Casado,Peruana,10309,Amazonas,Bongara,Shipasbamba,Shipasbamba,Ah Valle Hermoso,Mz.,C,Lt.,19,
Maria Esther,Díaz,maria.esther.díaz@outlook.com,9543655422,Divorciado,Boliviana,10205,Amazonas,Bagua,Bagua,Bagua,Asoc La Campina Belen,Mz.,R,Lt.,13,
Manuel,Santiago,manuel.santiago@gmail.com,9598711823,Casado,Dominicana,10703,Amazonas,Utcubamba,Cumba,Cumba,Coop La Fragata Los Filosofos,Mz.,U,Lt.,4,
Maria,Martin,maria.martin@gmail.com,9788659302,Viudo,Noruega,10205,Amazonas,Bagua,Bagua,Bagua,Ah Vallecito Bajo Valle Hermoso,Mz.,N,Lt.,6,
Pilar,Martínez,pilar.martínez@outlook.com,9147705984,Casado,Guatemalteca,10512,Amazonas,Rodriguez De Mendoza,Vista Alegre,Vista Alegre,Asoc Viv Claveles De Gloria Baja,Mz.,Y,Lt.,13,
Manuel,Santiago,manuel.santiago@gmail.com,9672951639,Casado,Portuguesa,10118,Amazonas,Chachapoyas,Daguas,San Francisco De Daguas,Coop Comunidad Campesina Jicamarca Modesto Reynoso,Mz.,J,Lt.,19,
Juan Carlos,González,juan.carlos.gonzález@outlook.com,9642354153,Viudo,Tailandesa,10413,Amazonas,Luya,Collonce,Ocumal,Ub Bella Luz Monte Hermoso,Mz.,D,Lt.,8,
Maria Del Carmen,Pérez,maria.del.carmen.pérez@gmail.com,9185745619,Viudo,Kittitiana,10312,Amazonas,Bongara,Pedro Ruiz Gallo,Jazan,Ub Mateo Salado Arturo Osores,Mz.,D,Lt.,16,
Nicolas,Esteban,nicolas.esteban@outlook.com,9780663108,Casado,Peruana, Huayabamba",Santa Rosa,Ub Santa Catalina Saposoa,Mz.,B,Lt.,18,
Isabel,Ruiz,isabel.ruiz@gmail.com,telefono,Viudo,Santalucense,10408,Amazonas,Luya,Lonya Chico,Lonya Chico,Asoc Valle Hermoso 2 Etapa,Mz.,M,Lt.,18,
Dominga,Torres,dominga.torres@outlook.com,9502178120,Divorciado,Brasileña,10121,Amazonas,Chachapoyas,San Juan de Sonche,Sonche,Ub Santa Catalina Saposoa,Mz.,B,Lt.,18,
Manuel,Santiago,manuel.santiago@gmail.com,9922616096,Casado,Indio,10304,Amazonas,Bongara,Chisquilla,Chisquilla,Ub Mariscal Caceres Sector 3 Etapa 1 Juan Manuel Moscoso,Mz.,Y,Lt.,19,
Felipe,Rubio,felipe.rubio@gmail.com,9166876933,Soltero,Ecuatoriana,10410,Amazonas,Luya,Luya Viejo,Luya Viejo,Ah Villa Hermosa Rio Saposoa,Mz.,C,Lt.,3,
Amalia,Arias,amalia.arias@outlook.com,9128136982,Divorciado,Argentina,10105,Amazonas,Chachapoyas,ChiliquÃ­n,Chiliquin,Asoc Los Robles Del Naranjal 2 Etapa Valle Hermoso,Mz.,E,Lt.,7,
Roberto,Torres,roberto.torres@outlook.com,9502178120,Viudo,Peruana,10601,Amazonas,Condorcanqui,Santa MarÃ­a de Nieva,Nieva,Asoc Pop Villamar De Ancon Los Claveles,Mz.,C,Lt.,18,
Luis,Jiménez,luis.jiménez@gmail.com,9599711252,Soltero,Peruana,10121,Amazonas,Chachapoyas,San Juan de Sonche,Sonche,Ah Villa Hermosa Rio Saposoa,Mz.,C,Lt.,3,
Maria Esther,Díaz,maria.esther.díaz@outlook.com,9659852866,Viudo,Indio,10106,Amazonas,Chachapoyas,Chuquibamba,Chuquibamba,Asoc Hijos De Santa Elena,Mz.,P,Lt.,8,
